Department,Year 2013-14,Grants Description,"Amount (£,000s)",Grant Category,End Recipient,No. of Recipients
DfE,2013-14,Raising Standards in Maths,70.675,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,London Excellence Fund,7030,General Grant,Local Government ,0
DfE,2013-14,ASPIRE,216,General Grant,Public Sector,0
DfE,2013-14,Commando Jo's,699.866,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Knowsley Skills Academy,345.726,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Impact Awards,1000,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Cambridge University Maths Project,1029.009,General Grant,Public Sector,0
DfE,2013-14,Advanced Maths,90,General Grant,Private Sector,0
DfE,2013-14,Cambridge University Physics Project,711.6,General Grant,Private Sector,0
DfE,2013-14,Diana Award,415.4,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Beat Bullying,781.821,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Kidscape,122.73,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,National Children's Bureau,730.637,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Network of Teaching Excellence in Computer Science,781.6,General Grant,Private Sector,0
DfE,2013-14,Bloodhound SSC Computer Science Education,296.543,General Grant,Private Sector,0
DfE,2013-14,CVQO Raising Attainment by using Military Ethos,350.011,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Princes Trust - Raising Attainment by using Military Ethos in schools,323.656,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Establishing the A level Content Board (ALCAB),64.8,General Grant,Private Sector,0
DfE,2013-14,Shakespeare Schools Festival,300,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,The British Interplanetary Society,40,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Plan Your Legacy,650,General Grant,Local Government and Public Sector,0
DfE,2013-14,Debate Mate,150,General Grant,Private Sector,0
DfE,2013-14,London Leadership Strategy,64,General Grant,Unknown,0
DfE,2013-14,Post 16 Maths Enhancement Programme,230,General Grant,Private Sector,0
DfE,2013-14,School proms and music projects,220,General Grant,Public Sector,0
DfE,2013-14,SEN CPD ,1000,General Grant,Private Sector,0
DfE,2013-14,Young Ambassadors Programme,250,General Grant,Local Government and Public Sector,0
DfE,2013-14,Barefoot Computing,151.5,General Grant,Public Sector,0
DfE,2013-14,Post 16 English CPD Programme,66.9576,General Grant,Private Sector,0
DfE,2013-14,Post 16 English CPD Programme,50.214,General Grant,Unknown,0
DfE,2013-14,Post 16 English CPD Programme,111.76993,General Grant,Unknown,0
DfE,2013-14,Association of Employment and Learning Providers,18.899,General Grant,Public Sector,0
DfE,2013-14,Association of Colleges (AoC),30.875,General Grant,Public Sector,0
DfE,2013-14,Institute for Learning (IfL),20.295,General Grant,Public Sector,0
DfE,2013-14,Association of Colleges (AoC),20.09,General Grant,Public Sector,0
DfE,2013-14,Institute of Education,33.54,General Grant,Public Sector,0
DfE,2013-14,Education Endowment Foundation,830,General Grant,Private Sector,0
DfE,2013-14,RSC Primrary School Toolkit,528.696,General Grant,Public Sector,0
DfE,2013-14,A-Level Content Advisory Board (ALCAB),184.818,General Grant,Public Sector,0
DfE,2013-14,Student Feedback of Teacher Practices Pilot,25000,General Grant,Public Sector,5
DfE,2013-14,The 3D Printer Project,58.688,General Grant,Public Sector,0
DfE,2013-14,Converter Support Grant,38690.922,General Grant,Unknown,0
DfE,2013-14,Traditional Academies Capital Grant ,8000,General Grant,Unknown,0
DfE,2013-14,Academies Environmental Improvements,11600,General Grant,Unknown,0
DfE,2013-14,Free Schools Pre-application Support,1129.66554,General Grant,Voluntary Sector ,0
DfE,2013-14,SGOSS,760,General Grant,Voluntary Sector and Communities ,0
DfE,2013-14,Free Schools Pre-opening Funding,32148,General Grant,Voluntary Sector ,0
DfE,2013-14,Univeristy Technical College Pre Approval Support,200,General Grant,Voluntary Sector ,0
DfE,2013-14,Academy Conversion and Sponsorship Events,99,General Grant,Unknown,0
DfE,2013-14,Academy Conversion and Sponsorship Events,99,General Grant,Unknown,0
DfE,2013-14,Engaging New Sponsors,25,General Grant,Unknown,0
DfE,2013-14,Home to School Transport Extended Rights,37900,Formula Grant,Local Government ,49
DfE,2013-14,Primary Associates Academy Project,19,General Grant,Unknown,0
DfE,2013-14,Boarding Schools Association,52,General Grant,Unknown,0
DfE,2013-14,Mainstream ITT,29009.901,Formula Grant,Unknown,0
DfE,2013-14,Training Bursaries,71595.305,Formula Grant,Unknown,1
DfE,2013-14,School Direct - Salaried,3735.287,Formula Grant,Unknown,0
DfE,2013-14,Subject Knowledge Enhancement,7883.488,Formula Grant,Unknown,0
DfE,2013-14,Golden Hellos and other Incentives,4373.396,Formula Grant,Unknown,0
DfE,2013-14,National Scholarships,1466.58348,General Grant,Unknown,0
DfE,2013-14,National Award for SEN Co-ordination,2400,Formula Grant,Unknown,0
DfE,2013-14,Teach First ,11743.898,Unknown,Unknown,0
DfE,2013-14,Teach First  (ITT Costs),4718.91,Formula Grant,Unknown,1
DfE,2013-14,Initial Traning for Educational Psychologists (Bursary),1749.875,Formula Grant,Unknown,42
DfE,2013-14,Early Years Professional Status Bursaries,2325.545,Unknown,Unknown,0
DfE,2013-14,Head Start and LLE,708,General Grant,Public Sector and Voluntary Sector ,0
DfE,2013-14,National Leaders of Governance,610,General Grant,Public Sector and Voluntary Sector ,0
DfE,2013-14,National Leaders of Education NLE,4800,General Grant,Public Sector and Voluntary Sector ,0
DfE,2013-14,Designation Support Grant,119.7,General Grant,Public Sector and Voluntary Sector ,0
DfE,2013-14,School Improvement,150,General Grant,Public Sector and Voluntary Sector ,0
DfE,2013-14,R&D Closing the Gap,1920,General Grant,Public Sector and Voluntary Sector ,0
DfE,2013-14,R&D National Themes Cohort 3,145,General Grant,Public Sector and Voluntary Sector ,0
DfE,2013-14,SLE Train the Trainer,25.21,General Grant,Public Sector and Voluntary Sector ,0
DfE,2013-14,ITT Scholarships,311.018,?,Voluntary Sector and Communities ,0
DfE,2013-14,Early Years Apprenticeship Bursary Scheme,849,Formula Grant,Unknown,0
DfE,2013-14,Chairs of Governors' Leadership Development Programme Scholarships,300,General Grant,Unknown,0
DfE,2013-14,Impact Awards,1000,General Grant,Unknown,0
DfE,2013-14,Enthuse Awards,721,General Grant,Unknown,0
DfE,2013-14,Leadership Curriculum Scholarships,1000,General Grant,Unknown,0
DfE,2013-14,SBM Advocates,150,General Grant,Public Sector  Voluntary Sector ,0
DfE,2013-14,Supply Wave 7,2140,General Grant,Unknown,0
DfE,2013-14,Supply - Faith,135,General Grant,Unknown,0
DfE,2013-14,Supply - Diversity,180,General Grant,Unknown,0
DfE,2013-14,R&D Closing the Gap,3000,General Grant,Public Sector  Voluntary Sector ,0
DfE,2013-14,Teaching Schools,20000,General Grant,Public Sector  Voluntary Sector ,0
DfE,2013-14,NLE Deployment fund,5000,General Grant,Public Sector  Voluntary Sector ,0
DfE,2013-14,SLE training grant,755.6,General Grant,Public Sector  Voluntary Sector ,0
DfE,2013-14,Accreditation of School Centred Initial Teacher Training,98.159,Unknown,Unknown,8
DfE,2013-14,Sharing Innovative approaches to implementing 16-19 study programmes,99.988,General Grant,Public Sector,162
DfE,2013-14,Leadership Curriculum Scholarships,4334.361,General Grant,Public Sector,30
DfE,2013-14,Student Feedback of Teacher Practices Pilot,2.5,General grant ,Public sector ,5
DfT,2013-14,Plugged-In Places,6760,General Grant,Local Government and Private Sector,1
DfT,2013-14,Energy Saving Trust ,3050,General Grant,Public Sector,1
DfT,2013-14,Low Carbon Vehicle Partnership,420,General Grant,Public Sector,10
DfT,2013-14,Plugged in Car grant,20700,General Grant,Private Sector,10
DfT,2013-14,Plugged in Car grant,5470,General Grant,Private Sector,2
DfT,2013-14,Plugged in Van grant,3040,General Grant,Private Sector,2
DfT,2013-14,Low Carbon Van Grant,1240,General Grant,Private Sector and Public Sector,Unknown
DfT,2013-14,Low Carbon Vehicle Improvement Programme,6560,Intermediated Grant,Private Sector,Unknown
DfT,2013-14,Low Carbon Vehicle Improvement Programme,1730,Intermediated Grant,Private Sector,Unknown
DfT,2013-14,Green Truck Trial,1290,Intermediated Grant,Private Sector,Unknown
DfT,2013-14,Supply Chain & H2 R&D,2000,Intermediated Grant,Private Sector,1
DfT,2013-14,Plugged in Fleet  Initiative (EST),280,General Grant,Public Sector,10
DfT,2013-14,Home Chargers,2980,General Grant,Private Sector,32
DfT,2013-14,LA Rapid Chargers,2700,General Grant,Public Sector,7
DfT,2013-14,Train Station Chargers,450,General Grant,Private Sector,44
DfT,2013-14,Public Sector Chargers,1750,General Grant,Public Sector,Unknown
DfT,2013-14,Niche Vehicle Programme ,500,Intermediated Grant,Private Sector,27
DfT,2013-14,Bus Technology Fund,7500,Intermediated Grant,Public Sector,1
DfT,2013-14,ULEV Comms Campaign,1200,General Grant,Private Sector,1
DfT,2013-14,Royal Society for the Prevention of Accidents,98,General Grant,Voluntary Sector ,Unknown
DfT,2013-14,Mountain Rescue - England,200,General Grant,Public Sector,Unknown
DfT,2013-14,Inland Water Safety,100,General Grant,Public Sector,1
DfT,2013-14,TfL-LOROL,28713,resource grant,Private Sector,1
DfT,2013-14,ACORP,192,resource grant,Voluntary Sector ,1
DfT,2013-14,DCRDF - Community Rail,70,resource grant,Voluntary Sector ,1
DfT,2013-14,Passenger Focus G-i-A,4930,Grant In Aid,Public Sector,1
DfT,2013-14,Network Rail Grant ,3382000,Capital grant,Private Sector,Unknown
DfT,2013-14,MerseyTravel ,83546,Grant In Aid,Private Sector,1
DfT,2013-14,Nexus Grants - Resource,24926,General Grant,Local Government ,1
DfT,2013-14,Nexus Grants - Capital,28684,General Grant,Local Government ,20
DfT,2013-14,PROJ - RAIL - HLOSWS,1335.066,General Grant,Local Government & Private Sector,1
DfT,2013-14,Tram Train,9501.5,General Grant,Local Government ,10
DfT,2013-14,Railways For All,7310,General Grant,Private Sector,1
DfT,2013-14,Thameslink,6600,General Grant,Private Sector,1
DfT,2013-14,RTP RSSB,9955,General Grant,Public Sector,1
DfT,2013-14,Rail Innovation Fund,19839.996,General Grant,Private Sector,1
DfT,2013-14,Crossrail,1122776,General Grant,Local Government ,1
DfT,2013-14,Catapult Centre,1250,General Grant,Public Sector,1
DfT,2013-14,Rail Innovation Fund - Capital,280.5,General Grant,Private Sector,Unknown
DfT,2013-14,IoP Opex - Resource,6600,General Grant,Private Sector,1
DfT,2013-14,SEF Ticketing (TOCs) - new project - Capital,25120,General Grant,Private Sector,1
DfT,2013-14,SEF Ticketing (TOCs) - new project - Resource,4200,General Grant,Private Sector,1
DfT,2013-14,NCEC Chemsafe ,176,General Grant,Private Sector,9
DfT,2013-14,CD Challenge Fund for Voluntary Bodies,500,General Grant,Voluntary Sector ,1
DfT,2013-14,GLA Transport Grant (Resource),1988480,Grant In Aid,Public Sector,1
DfT,2013-14,GLA Transport Grant (Capital),184000,Ad Hoc,Public Sector,14
DfT,2013-14,Sustainable Distribution Fund,18632,General Grant,Private Sector,922
DfT,2013-14,Bus Service Operator Grants (outside London),220987,Formula Grant,Private Sector,129
DfT,2013-14,Bus Service Operator Grants to Local Authorities,25776,Formula Grant,Local Government,657
DfT,2013-14,English Community Transport,3083,Formula Grant,Voluntary Sector ,18
DfT,2013-14,Bus Service Operator Grants (London),42174,Formula Grant,Private Sector,5
DfT,2013-14,Green Bus growth spend 11-12 and 12-13,15110,General Grant,Local Government and Private Sector,1
DfT,2013-14,Bus- Inspection,96,General Grant,Public Sector,1
DfT,2013-14,Bus- Punctuality,1016,General Grant,Public Sector,1
DfT,2013-14,Community Transport (CG),200,Intermediated Grant,Voluntary Sector ,11 - 110
DfT,2013-14,LSTF Grants to LA (Revenue),80832,General Grant,Local Government,11 - 110
DfT,2013-14,LSTF Grants to LA (Capital),84046,General Grant,Local Government,1
DfT,2013-14,Cycling England (now National Cycling) grants,4827,Intermediated Grant,Voluntary Sector ,11 - 110
DfT,2013-14,Mobility Centres Grant,3126,General Grant,Voluntary Sector ,293360
DfT,2013-14,Bikeability,11000,Intermediated Grant,Local Government,Unknown
DfT,2013-14,Cycling Infrastructure Improvements,69372,Intermediated Grant,Local Government,88
DfT,2013-14,Integrated Transport Block,317898,Formula Grant,Local Government,93
DfT,2013-14,Capital Road Maintenance,923775,Formula Grant,Local Government,50 - 100
DfT,2013-14,LA Majors,370910,General Grant,Local Government,11 - 110
DfT,2013-14,HM Efficiency Initiative,1453,Intermediated Grant,Local Government and Private Sector,38
DfT,2013-14,PFI Grants to LA,293950,Intermediated Grant,Local Government,1
DfT,2013-14,Real Time Information Grant,25,General Grant,Private Sector,150
DH,2013-14,Capital Investment in Community (CAPITAL GRANT),129059,Formula Grant,Local Government,10000
DH,2013-14,Social Care Education and Training,99521,Intermediated Grant,Public Sector and Voluntary Sector ,2
DH,2013-14,Local Reform and Community Voices (REVENUE GRANT),42053,Formula Grant,Local Government,0
DH,2013-14,Civil Contingency - Capital,34572,Unknown,Unknown,5000
DH,2013-14,Skills for Care,30070,Intermediated Grant,Voluntary Sector ,70
DH,2013-14,Dementia Friendly Environments,25594,General Grant,Local Government ,250
DH,2013-14,Third Sector Investment Programme,17700,General Grant,Voluntary Sector ,3
DH,2013-14,Physical Activity Health & Work,13300,Ad Hoc,Public Sector and Voluntary Sector,1
DH,2013-14,NHS BT Capital ( NHS Blood and Transplant),8600,Grant In Aid,Public Sector,1
DH,2013-14,MHRA Devices Allocation (Capital),8000,Grant In Aid,Public Sector,500
DH,2013-14,Thalidomide grant,7300,Intermediated Grant,Private Sector and Individuals,5
DH,2013-14,White Paper Reform,6140,Ad Hoc,Voluntary Sector ,200
DH,2013-14,Volunteering Fund,6061,Intermediated Grant,Voluntary Sector ,20
DH,2013-14,SEIF Capital Grants,4125,Intermediated Grant,Voluntary Sector ,25
DH,2013-14,Time to Talk,4000,Intermediated Grant,Voluntary Sector ,5
DH,2013-14,Francis Implementation Team,2810,Ad Hoc,Voluntary Sector ,3
DH,2013-14,Non Medical Education and Training,3500,Ad Hoc,Voluntary Sector ,3
DH,2013-14,Efficiency and Reform in Social Care-TLAP,1078,Ad Hoc,Voluntary Sector ,3
DH,2013-14,Children and Young People's MindEd e-Portal,2200,Ad Hoc,Voluntary Sector ,20
DH,2013-14,SEIF Revenue,2140,Intermediated Grant,Voluntary Sector ,1
DH,2013-14,Social Care Institute for Excellence (SCIE),1250,Ad Hoc,Voluntary Sector ,5
DH,2013-14,Carers,750,Ad Hoc,Voluntary Sector ,3
DH,2013-14,Children and Young People,2500,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Child Migrants Trust,1000,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Dementia,835,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Health Inequalities (Marmott and Inclusion Health),530,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Winterbourne Review ,789,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Children and Young People IAPT CF&HI,300,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Confidential Enquiry,36.9,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Mental Health Strategy,160,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Promoting Physical Activity,100,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Active Communities Development Group,146,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Hepatitis C - contaminated blood payments,100,Ad Hoc,Voluntary Sector ,1
DH,2013-14,HIV - contaminated blood payments,100,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Local Healthwatch Central Support,50,Ad Hoc,Voluntary Sector ,0
DH,2013-14,Directorate Transition Programme,8846,Unknown,Unknown,1
DH,2013-14,Hospital Discharge for the Homeless,5100,General Grant,Voluntary Sector ,0
DH,2013-14,PHD Sexual Health,240,Ad Hoc,Voluntary Sector ,11
DH,2013-14,Hospital Discharge for the Homeless (Capital),5230,General Grant,Public Sector,1
DH,2013-14,Nursing and Midwifery Professional Advice - SoS Care Workstream - Nursing Vision - AHP Professional Advice,157,Ad Hoc,Voluntary Sector ,1
DH,2013-14,Care Support Reform Implementation,250,Ad Hoc,Voluntary Sector ,Unknown
DH,2013-14,Research and Development,1165040,Unknown,Unknown,27
HMRC,2013-14,"Grant funding to the Voluntary, Charity and Community Sector",3000,General Grant,Voluntary Sector ,1
HMT,2013-14,OBR,1815,Grant In Aid,Public Sector,1
Home Office,2013-14,ChildrenÕs Panel,800,General Grant,Voluntary Sector ,02-Oct
Home Office,2013-14,Initial Accommodation Wraparound Service (IAWS) and One Stop Services (OSS) for Asylum Seekers in Scotland (Scottish Refugee Council),630,General Grant,Voluntary Sector ,02-Oct
Home Office,2013-14,Initial Accommodation Wraparound Service (IAWS) and One Stop Services (OSS) for Asylum Seekers in Wales (Welsh Refugee Council),520,General Grant,Voluntary Sector ,02-Oct
Home Office,2013-14,Initial Accommodation Wraparound Service (IAWS) and One Stop Services (OSS) for Asylum Seekers in England (Migrant Helpline),580,General Grant,Voluntary Sector ,02-Oct
Home Office,2013-14,Initial Accommodation Wraparound Service (IAWS) and One Stop Services (OSS) for Asylum Seekers in England and Northern Ireland (Refugee Council),2750,General Grant,Voluntary Sector ,02-Oct
Home Office,2013-14,Initial Accommodation Wraparound Service (IAWS) and One Stop Services (OSS) for Asylum Seekers in England (Refugee Action),1520,General Grant,Voluntary Sector ,11 - 100
Home Office,2013-14,Leaving Care ,11300,Formula Grant,Local Government ,"101 - 1,000"
Home Office,2013-14,Unaccompanied Asylum Seeking Children (UASC),67200,Formula Grant,Local Government ,1
Home Office,2013-14,South East of England Strategic Migration Partnership,102,General Grant,Local Government ,1
Home Office,2013-14,West Midlands Strategic Migration Partnership,135,General Grant,Local Government ,1
Home Office,2013-14,South West Strategic Migration Partnership,50,General Grant,Local Government ,1
Home Office,2013-14,Northern Ireland Strategic Migration Partnership,90,General Grant,Local Government ,1
Home Office,2013-14,East of England Strategic Migration Partnership,100,General Grant,Local Government ,1
Home Office,2013-14,North West Regional Strategic Migration Partnership,158.869,General Grant,Local Government ,1
Home Office,2013-14,Greater London Stategic Migration Partnership,80,General Grant,Local Government ,1
Home Office,2013-14,East Midlands Strategic Migration Partnership,110,General Grant,Local Government ,1
Home Office,2013-14,Yorkshire and Humberside Strategic Migration Partnership,160,General Grant,Local Government ,1
Home Office,2013-14,Welsh Strategic Migration Partnership,115.4,General Grant,Local Government ,1
Home Office,2013-14,Scotland Strategic Migration Partnership,140,General Grant,Local Government ,1
Home Office,2013-14,Returns and Reintegration Fund: Hibiscus Support for Women at YarlÕs Wood Immigration Removal Centre (IRC),230,General Grant,Voluntary Sector ,1
Home Office,2013-14,Returns and Reintegration Fund Hibiscus Support for Male Detainees at Heathrow IRCÕs,100,General Grant,Voluntary Sector ,1
Home Office,2013-14,Barnardos- Cedars Pre-departure Services ,1430,General Grant,Voluntary Sector ,1
Home Office,2013-14,Facilitated Return Scheme (FRS) Re-intergration Support Services,490,General Grant,International,Unknown 
Home Office,2013-14,The Assisted Voluntary Return Programme,9670,General Grant,Voluntary Sector ,1
Home Office,2013-14,Office of Immigration Services Commissioner (OISC) ,3947,Grant In Aid,Public Sector,1
Home Office,2013-14,Greece Upstream Capability Building Assisted Voluntary Returns Project - Phase 2,110,General Grant,Voluntary Sector ,1
Home Office,2013-14,West Sussex Social Workers Intake Team (SWIT),310,General Grant,Local Government ,1
Home Office,2013-14,United Nations High Commissioner for Refugees (UNHCR),600,General Grant,International,1
Home Office,2013-14,National Museums Liverpool,247,Grant In Aid,Unknown,1
Home Office,2013-14,Sikh Council UK,62,General Grant,Voluntary Sector ,1
Home Office,2013-14,United Kingdom Central Authority for the Exchange of Criminal Records (UKCA-ECR).,4000,Formula Grant,Police,1
Home Office,2013-14,SIS II SOCA-NCA Grant,5030,Formula Grant,Public Sector,1
Home Office,2013-14,Prum DNA Grant,750,Formula Grant,Private Sector,1
Home Office,2013-14,Home Office Amberhill Project,650,Formula Grant,Police,1
Home Office,2013-14,UK Feasibility of Prum Fingerprint Exchange,70,Formula Grant,Private Sector,1
Home Office,2013-14,MedCOI,800,Formula Grant,International,Unknown
Home Office,2013-14,Fire Investigation Standards Grant ,5,,,NA
Home Office,2013-14,National Police Uniforms Managed Services  _ Technical Expert,50,,No Intermediary,NA
Home Office,2013-14,Support for the Police Service and HMCTS in the Deployment of Pentip,13,,No Intermediary,NA
Home Office,2013-14,Police ICT Company,2000,,No Intermediary,NA
Home Office,2013-14,Police Criminal Justice Efficiencies Grant ,53,,No Intermediary,NA
Home Office,2013-14,Bodyworn Video _ Digital First Strategy,54,,No Intermediary,NA
Home Office,2013-14,Demos: mapping integration ,45,,No Intermediary,NA
Home Office,2013-14,Psychology of the insurance fraudster,10,,No Intermediary,NA
Home Office,2013-14,Police National Database National Support,140,,No Intermediary,Unknown
Home Office,2013-14,Forensic Science Special Interest Group ,25,,,Unknown
Home Office,2013-14,Forensic Pathology Research within Science Secretariat ,40,,,1
Home Office,2013-14,ASCCO core funding grant 2013-14 ,14,Grant In Aid,Public Sector,160
Home Office,2013-14,CAADA _ MARAC Development and Support [Co-ordinated Action Against Domestic Abuse  Multi-Agency Risk Assessment Conference - Quality Assurance ],650,General Grant,Voluntary Sector ,43
Home Office,2013-14,Community Safety Fund,90000,General Grant,Police,1
Home Office,2013-14,CoP -  Avon and Somerset Constabulary - FRBA,59.964,General Grant,Police,1
Home Office,2013-14,CoP - Delivery of the Citizens in Policing Portfolio,20,Grant In Aid,Police,1
Home Office,2013-14,CoP - Delivery of the Special Constabulary National Strategy ,58.51,Grant In Aid,Police,1
Home Office,2013-14,CoP - ERSC - What Works Center Commissioned Partnership Programme,370,General Grant,Public Sector,17
Home Office,2013-14,CoP - Innovation and Capacity Building Grant,594.017,General Grant,Police,1
Home Office,2013-14,CoP - National Police Interoperability Working Group,136,Grant In Aid,Police,1
Home Office,2013-14,CoP - National Policing Crime Business Area,50,General Grant,Police,6
Home Office,2013-14,CoP - Research Evidence Champions Grant,144,General Grant,Police,4
Home Office,2013-14,CoP - Violence and Public Protection Portfolio,133.333,General Grant,Police,2
Home Office,2013-14,Core funding TST and Rape Crisis,150,General Grant,Voluntary Sector ,1
Home Office,2013-14,Crime Forecasting Project,10,General Grant,Voluntary Sector ,43
Home Office,2013-14,DCLG Funding,3067000,Formula Grant,Police,1
Home Office,2013-14,Diversifying the night time economy guidance,5,General Grant,Voluntary Sector and Communities ,1
Home Office,2013-14,EGYV - 2013-14 Legislative Authority Request (£40k of 2012-13 grant that was not accrued),40,Ad Hoc,Local Government,8
Home Office,2013-14,EIF: Services Supporting Children Under 18 ,400,General Grant,Local Government and Voluntary Sector ,1
Home Office,2013-14,Football Supporters' Federation,123.055,Grant In Aid,Police,1
Home Office,2013-14,Forced Marriage Unit,110,General Grant,Public Sector,1
Home Office,2013-14,Forensic Archive Limited liquidation aid,2500,General Grant,Public Sector,1
Home Office,2013-14,Forensic Archive Ltd cataloguing project,700,General Grant,Public Sector,1
Home Office,2013-14,FSF Cymru,3.5,General Grant,Voluntary Sector ,1
Home Office,2013-14,College of Policing   ,56200,Grant In Aid,Public Sector,1
Home Office,2013-14,IPCC   ,45126.27,Grant In Aid,Police,1
Home Office,2013-14,SIA (capital expenditure),1750,Grant In Aid,Public Sector,1
Home Office,2013-14,Human Trafficking Grant   ,2000,General Grant,Local Government and Voluntary Sector ,309
Home Office,2013-14,IDVA - MARAC,3300,General Grant,Local Government,1
Home Office,2013-14,INQUEST Charity in support of the Hillsborough Families,30.5,General Grant,Voluntary Sector ,1
Home Office,2013-14,INQUEST Charity: Funding of Hillsborough FamiliesÕ Information Days ,20,General Grant,Voluntary Sector ,85
Home Office,2013-14,ISVA Funding,1732.5,General Grant,Local Government and Voluntary Sector ,Oct-20
Home Office,2013-14,ISVA training,150,General Grant,Voluntary Sector ,1
Home Office,2013-14,Leveson Inquiry,273.761,General Grant,Public Sector,1
Home Office,2013-14,Mental Health Briefing Note,10,General Grant,Local Government and Public Sector,1
Home Office,2013-14,Metal Theft Task Force,529,General Grant,Police,1
Home Office,2013-14,Ministerial Council on Deaths in Custody,50,General Grant,Local Government and Public Sector,1
Home Office,2013-14,Missing People Charity,220,General Grant,Voluntary Sector ,1
Home Office,2013-14,Multi-Agency Working and Information Sharing Project,10,General Grant,Police,1
Home Office,2013-14,National Police Air Service,13000,General Grant,Police,1
Home Office,2013-14,National Police Air Service resource funding,3750,General Grant,Police,1
Home Office,2013-14,National Police Co-ordination Centre (NPoCC),1365,General Grant,Police,1
Home Office,2013-14,National Police Co-ordination Centre (NPoCC) - Additional Capital Funding,300,General Grant,Police,1
Home Office,2013-14,National Police Co-ordination Centre (NPoCC) - Additional Funding,280,General Grant,Police,1
Home Office,2013-14,"National Police Co-ordination Centre (NPoCC) - IT system, Mercury (capital)",262.023,General Grant,Police,1
Home Office,2013-14,National Register of Scrap Metal Dealers,110,General Grant,Public Sector,1
Home Office,2013-14,National Ugly Mugs Guidance Packs,11,General Grant,Communities,1
Home Office,2013-14,National Wildlife Crime Unit,140,General Grant,Police,1
Home Office,2013-14,"National, International and Capital City Grant",185000,Formula Grant,Police,1
Home Office,2013-14,Neighbourhood Watch (NHW) Grant Stream,290,General Grant,Voluntary Sector ,1
Home Office,2013-14,Pensions of former MPS Commissioners,350,Grant In Aid,Police,43
Home Office,2013-14,Police and Crime Panels,3000,General Grant,Local Government,43
Home Office,2013-14,Police Capital Grant,106000,Formula Grant,Police,1
Home Office,2013-14,Police Employee Relations and Reward (Representative Bodies - Police Federation),186.509,Grant In Aid,Voluntary Sector ,1
Home Office,2013-14,Police Employee Relations and Reward (Representative Bodies - Police Negotiating Body),460.864,Grant In Aid,Voluntary Sector ,1
Home Office,2013-14,Police Employee Relations and Reward (Representative Bodies - Superintendents Association),622.371,Grant In Aid,Voluntary Sector ,Unknown
Home Office,2013-14,Police Innovation Fund,20000,General Grant,Police,Unknown
Home Office,2013-14,Police Loan Charges Grant ,7000,Formula Grant,Police,43
Home Office,2013-14,Police Main Grant,4540420,Formula Grant,Police,43
Home Office,2013-14,Police pensions AME payment,1365596,Grant In Aid,Police,21
Home Office,2013-14,Police PFI grant ,60000,Formula Grant,Police,1
Home Office,2013-14,Police PFI review,1850,General Grant,Police,5
Home Office,2013-14,Police PFI review Capital,500,General Grant,Police,Unknown
Home Office,2013-14,Police Special Capital Grant,1000,General Grant,Police,Unknown
Home Office,2013-14,Police Special Grant ,90000,General Grant,Police,1
Home Office,2013-14,Police WidowÕs Pension _ Warwickshire Officer,10,Grant In Aid,Police,1
Home Office,2013-14,Police-led Prosecutions Pathfinder Champion,10,General Grant,Police,1
Home Office,2013-14,PSTN  IISAM - memorandum of understanding - HO&DCLG,10,General Grant,Public Sector,1
Home Office,2013-14,Royal Parks Policing Grant,6900,General Grant,Police,1
Home Office,2013-14,Serious Youth Violence Local Profiles ,24.74084,General Grant,Voluntary Sector ,1
Home Office,2013-14,The Independent Custody Visiting Association (ICVA),155,General Grant,Voluntary Sector ,1
Home Office,2013-14,The National Appropriate Adult Network (NAAN).,75,General Grant,Voluntary Sector ,1
Home Office,2013-14,The Refugee Council - The Childrens' Society - Scoping review of the practical care arrangements for trafficked children and those who may be trafficked,44.266,General Grant,Voluntary Sector ,5
Home Office,2013-14,Trailblazer funding,123.5,General Grant,"Local Government, Public Sector and Voluntary sector ",1
Home Office,2013-14,UK Disaster Victim Identification,500,Grant In Aid,Police,1
Home Office,2013-14,Violence Against Women and Girls Commissioning Masterclasses,9.999,General Grant,Communities,5
Home Office,2013-14,Violence Against Women and Girls - Helplines,957,General Grant,Voluntary Sector ,1
Home Office,2013-14,Voluntary Sector Crime Reduction Organisations,900,General Grant,Voluntary Sector ,2
Home Office,2013-14,Welsh Top Up,13000,Formula Grant,Police,9
