Funding Org:Name,Grant Programme:Code,Grant Programme:Title,Aims and objectives,Value per year,Start Date,End Date,Duration Numeric,Allocation Method,Recipient Sector,COFOG L0 Long Name
Department for International Development,SCH-000002500,Protecting Adolescent Girls against Violence in Humanitarian Settings: Joint Programming on Safe Spaces,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,333,333",01/04/14,31/03/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002336,"I2I - Innovative support for climate research ? testing new, innovative approaches to address climate and environment development challenges",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"140,833",12/04/13,11/04/19,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002337,Ilm Ideas Phase II,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,000,000",12/09/13,11/09/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002339,"Impact of improved Sanitation/ Hygiene and Infant Nutrition on environmental enteropathy, growth, and anemia among young children in Zimbabwe.",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,025,852",16/06/10,15/06/17,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002340,Impact Programme - Investment to fund innovative solutions for development and help develop sustainable investment markets that work for the poor,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,240,000",01/12/12,30/11/28,16,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002502,Providing Humanitarian Assistance in Sahel Emergencies (PHASE),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"22,600,000",20/01/13,19/01/18,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002503,Provincial Health and Nutrition Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"18,447,094",30/06/11,29/06/18,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002707,UK Aid Direct,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"20,266,271",27/10/10,26/10/24,14,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002708,UK Aid Match 2013?2016: giving the public a say in how a portion of the aid budget is spent,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"17,248,874",01/07/13,30/06/20,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002706,UK Action Against Corruption Programme (UKACT),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"148,785",01/12/09,30/11/19,10,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002723,Upgrading the Kigumba-Masindi-Hoima-Kabwoya (135km) road from gravel to bitumen standards,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,342,500",23/05/13,22/05/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002724,UPGRO - Unlocking the Potential of Groundwater for the Poor,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,266,667",29/11/12,28/11/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002726,Urban Health: Strengthening Care for Poor Mothers and New-borns in Bangladesh,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"5,872,272",30/04/12,29/04/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002727,Urban Water for Darfur Project (UW4D),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"2,000,000",27/06/13,26/06/19,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002728,USAID-UKAID ACCELERE!,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,620,000",06/10/14,05/10/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002729,USES - Understanding Sustainable Energy Solutions in Developing Countries,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,411,102",10/12/12,09/12/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002730,Violence Against Women and Girls: Country Support,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"14,250",23/02/12,22/02/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002731,Visceral Leishmaniasis (VL) elimination programme in Asia & Africa,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"204,138",12/01/12,11/01/18,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002733,"Water for Three States (Red Sea, Gadarif and Kassala)",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"8,000,000",01/04/13,31/03/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002734,"Water, Sanitation and Hygiene (One WASH) Programme",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"27,947,034",26/11/12,25/11/17,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002736,WISER - Weather and climate Information and SERvices for Africa,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"4,463,900",01/05/14,30/04/19,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002738,Women Peace and Security (WPS) Centre at the London School of Economics and Political Science (LSE),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"500,000",15/09/15,14/09/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002747,Zambia Accountability Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,900,000",29/01/13,28/01/19,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002748,Zambia Education Sector Budget Support Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"5,500,000",09/11/11,08/11/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002749,Zambia Social Protection Expansion Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"3,102,984",01/04/10,31/03/19,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002751,Zimbabwe Education Transition Fund Phase II,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"8,000,041",01/07/11,30/06/17,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002754,Zimbabwe Livelihoods and Food Security Programme,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"14,943,750",01/08/13,31/07/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002755,Zimbabwe Reconstruction Fund (ZIMREF),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,500,000",01/07/14,30/06/18,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002756,Zimbabwe Youth Empowerment Programme (ZYEP),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"981,780",19/11/14,18/11/17,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002757,Zoonoses and Emerging Livestock Systems: reducing the risk to livestock and people,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,790,000",04/06/12,03/06/19,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002709,UK Aid Match: backing public choices on aid spending,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"6,134,857",04/04/11,03/04/18,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002710,UK Collaborative on Development Sciences (UKCDS) Phase 2,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"105,124",01/04/13,31/03/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002711,UK Contribution to IFAD's 10th Replenishment,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"28,650,000",01/01/16,31/12/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002712,UK Emergency Medical Teams,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"1,896,774",07/09/11,06/09/20,9,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002713,"UK investment in Gavi, the Vaccine Alliance (2016-2020)",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"250,000,000",01/04/16,31/03/20,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002716,UK Support to Polio Eradication 2013 ? 2019,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"50,000,000",01/04/13,31/03/19,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002720,"United Kingdom National Commission for the United Nations Educational, Scientific and Cultural Organisation",To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"300,000",01/11/14,31/10/21,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002721,United Nations Convention to Combat Desertification General Fund Assessed Contribution,To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"500,005",01/03/08,28/02/18,10,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000002742,World Health Organisation Special Programme for Research and Training in Tropical Diseases (2013-18),To reduce global poverty in support of the UK_s national interest. Further details on all UK overseas development assistance is available on Development Tracker at https://devtracker.dfid.gov.uk/,"500,000",01/04/13,31/03/17,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003652,Public Policy Information Monitoring and Advocacy (PPIMA Phase III),"To support Rwandan CSOs and citizens increase participation and engagement with decision makers in government and CSOs created spaces, leading to commitments to change in policies and their implementation.","1,400,000",29/06/16,28/06/19,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003653,Support to the United Nations (UN) Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) Syria Emergency Appeal,To provide essential humanitarian support to Palestinian refugees in and from Syria (PRS) affected by the ongoing Syrian crisis.,"24,800,000",29/04/15,28/04/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003654,"Supporting Palestinian refugees across the Middle East ? in Gaza, the West Bank, Jordan, Lebanon and Syria.","To advance Palestinian refugees? human development by funding the United Nations Relief and Works Agency to deliver basic education, health and relief services for over 355 thousand refugees across the Middle East ? in Gaza, the West Bank, Jordan, Lebanon and Syria. Through predictable, multi-year funding to the United Nations Relief and Works Agency the programme will improve the Agency?s effectiveness and sustainability, thereby reducing the vulnerability of Palestinian refugees dependent on its services. It will also contribute to protecting regional stability by meeting the basic needs of the Palestinian refugee population and reducing the High pressure on host governments and communities.","33,500,000",30/03/16,29/03/21,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003656,Strengthening Global Coordination and International Monitoring to support delivery of Universal Access to Water and Sanitation,"This programme will help to improve access to water and sanitation services for poor people and promote good hygiene. It will achieve this by supporting Governments and their partners to prioritise investment in under-served communities on the basis of robust data that demonstrates where the needs are greatest. To support this, the programme will ensure that there is guidance on how to deliver safe water and sanitation and will support Governments develop stronger national and local institutions to ensure services are sustainable in the long-term. In addition, the programme will support improved coordination between Governments to ensure that financial commitments to improved water and sanitation are made and delivered. It will support improved accountability and transparency among Governments, donors, NGOs and business through global, regional and national forums where the degree to which commitments have been delivered will be monitored. This will benefit poor people by monitoring","3,000,000",30/03/16,29/03/20,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003657,Urban sanitation policy programme,"To improve the health and socio-economic status of poor people by promoting innovative private sector engagement, to mentor small sanitation enterprises and market expansion, throughout the sanitation value chain in deprived urban settlements. This will accelerate the delivery of equitable and sustainable urban sanitation services and will provide access to clean water, sanitation and hygiene services in deprived urban settlements for up to one million people. This will result in sustainability of water and sanitation services by 2019.","2,700,000",30/03/15,29/03/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003658,Support for the implementation of the WTO Trade Facilitation Agreement,"Developing countries will reform their trade facilitation laws, procedures, processes and systems in a manner consistent with the WTO Trade Facilitation Agreement (TFA). This programme will reduce inefficient border processes, excessive red tape and administrative bottlenecks which stop businesses reaching customers and increase the costs of trade. Helping countries to trade more and grow their way out of poverty is a key part of DFID?s Economic Development Strategy.","2,142,857",30/03/15,29/03/22,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003659,Support to the International Centre for Trade and Sustainable Development (ICTSD) 2015-2019,"To support developing countries formulate more effective trade policies and negotiate more successfully in trade talks through the provision of impartial, evidence-based advice and opportunities to debate key issues with relevant stakeholders. This will benefit developing countries by giving them a voice in global trade policy making processes and will contribute over time to more inclusive and sustainable development.","2,137,500",31/12/15,30/12/19,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003660,Partnership for Investment and Growth in Africa,"To increase exports and sustainable incomes for poor people in Africa, through greater integration into global value chains in manufacturing and agro-processing sectors","633,333",29/04/15,28/04/21,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003661,Partnership with the Development Research Centre on Knowledge for Development Programme,To contribute to more effective development and poverty reduction policies that will benefit poor people in developing countries through improved knowledge on China?s experience and approach in relation to those of other countries.,"1,000,000",30/03/15,29/03/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003801,Asian Infrastructure Investment Bank (AIIB) UK Capital Investment,"UK investment in the new Asian Infrastructure Investment Bank to assist in addressing the shortage of infrastructure investment across the Asia-Pacific region. The UK?s membership will deepen economic ties with Asia and create opportunities for British businesses.The AIIB will support economic growth in the region and drive up living standards. The AIIB aims to help bridge the gap and improve economic growth in Asia. The establishment of the AIIB supports access to finance for infrastructure projects across Asia using a variety of support measures including loans, equity investments and guarantees to boost investment. Supporting infrastructure investment in Asian will support economic growth in the region and give benefits for the whole global economy.","133,333,333",09/01/17,08/01/20,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003802,Jobs Compact Ethiopia,"To create jobs for Ethiopians and refugees residing in Ethiopia. This project will support Ethiopia?s industrialisation strategy and job creation efforts through the development of two industrial parks, directly creating at least 100,000 jobs. Linked to this support, the Government of Ethiopia would make available a share of these job opportunities to refugees, who are currently not permitted to take up out of camp employment.","200,000",15/01/17,14/01/22,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003800,Humanitarian Emergency Refugee Response in Uganda (HERRU),"The emergency response will contribute towards provision of life-saving food assistance to refugees, improving the capacity of reception facilities, providing basic and domestic items, emergency shelter in settlements, WASH, and protection interventions for persons with specific needs and monitoring of refugee registration.","2,500,000",31/01/16,30/01/18,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003662,Agricultural Livelihoods Support in Syria (CIHEAM Bari),"The programme, approved by the 31 July Conflict Pool Board, will enhance national and sub-national governance whilst developing sustainable support to agriculture. The programme will support those geographic locations where intervention will benefit the Syrian Interim Government?s (SIG) longer term strategy of support in rural Aleppo, and enhance Syria Recovery Trust Fund planned activity.","1,000,001",29/06/15,28/06/17,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003663,Grassroots Empowerment in Tanzania (GET) Programme,"To contribute to the delivery of HMG?s ?leave no-one behind agenda? - tackling extreme poverty and helping the world?s most vulnerable. Grassroots Empowerment programme will deliver results on reducing FGM and early marriage, discrimination against people with albinism, securing land rights for women, and supporting disabled people. In order to achieve its purpose, Grassroots Empowerment will: empower communities to become key driving force for inclusive development at the local levels; ensure decision making at local levels better reflects the needs and aspirations of poor and marginalized groups; and it will give voice to the voiceless and tackle harmful traditional practices. It will facilitate local groups implement local solutions to solve common problems and increase their access to public goods.","3,600,000",31/12/15,30/12/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003664,"Partnership to Engage, Reform and Learn (PERL)","The programme works with government and civil society at federal and state levels to reduce inefficiency and corruption in the use of Nigerian resources and therefore improve delivery of services, including for women, girls and persons with disability. It does this in partnership with other DFID programmes supporting service delivery by helping Nigerian stakeholders improve accountability for use of resources including improving processes for raising revenue, allocating resources, planning and programme implementation.","20,000,000",29/04/16,28/04/21,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003665,Child Protection Fund Phase II for the National Action Plan for Orphans and other Vulnerable Children (CPF II for NAP) - Zimbabwe,"To ensure that children, families and communities are receiving improved child protection services reinforced by household and community economic resilience.","6,971,786",29/06/16,28/06/19,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003666,Supporting the Transformation of Rural WASH Service Delivery in Mozambique,"To contribute for sustained increase in effective demand, supply and use of WASH services for the rural poor in Mozambique","7,605,400",30/03/15,29/03/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003667,TEA - Transforming Energy Access,"The project is up to ?65 million over five years, to support early stage testing and scale up of innovative technologies and business models that will accelerate access to affordable, clean energy services for poor households and enterprises, especially in Africa. The programme will include: i) partnership with Shell Foundation, enabling support to another 30+ early stage private sector innovations. ii) Innovate UK?s Energy Catalyst to stimulate technology innovation by UK enterprises; iii) build other strategic clean energy innovation partnerships (e.g. testing a new ?P2P Solar? crowdfunding platform; and scoping a potential new partnership with Gates Foundation on Mission Innovation); iv) skills and expertise development. To support early stage testing and scale up of innovative technologies and business models that will accelerate access to affordable, clean energy services for poor households and enterprises, especially in Africa","10,858,333",30/03/15,29/03/21,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003668,Decentralised Renewable Energy Access Markets (DREAM),DREAM will help three of the poorest States in India provide energy to around 1.8m people. It will use UK expertise to mobilise public and private investment in sustainable and affordable energy supplies delivered by private energy businesses - creating 2000 jobs and supporting at least 200 women develop energy businesses.,"1,250,000",30/03/16,29/03/20,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003669,"Impact Evaluations on urban transport, transport corridors and road safety across multilateral development banks and bilateral programmes (ieConnect).","To deliver a conclusive body of research which shows what works in terms of using transport infrastructure to impact on economic development. The project will focus on three main themes, which are i) Urban Mobility; ii) Transport Corridors; iii) Road Safety and also the cross cutting areas of fragile/conflict affected states and Female Economic Empowerment.","1,250,000",31/01/16,30/01/22,6,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003671,Sustainable Inclusive Livelihoods through Tea Production in Rwanda,"The project purpose is to support job creation and increase incomes by working with smallholder farmers to develop greenfield tea. The Wood Foundation Africa (TWFA) will set up and run a Services Company supporting approximately 6,000 smallholder tea farmers over 3,400 hectares. These farmers will be supported to produce tea for the first time, employing best farming practices. The Services Company will be co-owned by the farmers. This will lead to improved incomes and livelihoods (in particular nutrition and education) for the farmers and their families. Unilever will build a factory and develop a core estate of approximately 817 hectares. The factory will be supplied by the core estate and the smallholder farmers supported by The Wood Foundation Africa","1,478,248",30/12/15,29/12/23,8,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003673,"Bangladesh Investment Climate Fund, Phase 2","BICF 2 aims to reduce poverty in Bangladesh through sustained pro-poor economic growth. Towards this broader goal, the impact of this programme will be to contribute to the creation of 50,000 additional formal jobs for the poor, at least 40% of which will be for women. The programme will provide technical assistance to develop new policies, improve regulations, strengthen institutions and simplify processes of relevant bodies within the government of Bangladesh that work with businesses. In so doing, it will make Bangladesh an easier place to do business, facilitating growth and job creation. BICF 2 will have a specific mandate to support special economic zones and the agribusiness sector. Two other sectors with high job creation potential will be identified and supported.","4,000,000",31/12/16,30/12/21,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003675,Sustaining and Accelerating Primary Health Care In Ethiopia,"To improve the functionality of primary health care units, reducing health inequalities, and increasing domestic financing for health to sustain and accelerate the pace of improvement in adolescent, maternal and child health in Ethiopia. This will be achieved through the Sustainable Development Goals Performance Fund, which will provide essential medicines, and improve the readiness of primary health care units and skills of primary health care staff to provide quality health services. The programme will also provide technical assistance for effective implementation of the National Health Financing Strategy to increase domestic financing for health, refine and scale-up the Ethiopian Health Insurance systems, and to develop and implement a Public Private Partnership Strategy to improve health outcomes.","50,000,000",31/12/15,30/12/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003676,"Strengthening African Networks for Governance, Accountability and Transparency Phase II","To strengthen national systems of governance to tackle transnational corruption and crime and improve public financial management in Africa through regional co-operation. The programme will work with 3 regional networks, the Asset Recovery Inter-Agency Network of Southern Africa (ARINSA); the African Prosecutor?s Association; and the Collaborative Africa Budget Reform Initiative (CABRI). This will reduce illicit financial flows and corruption in Africa increasing the resources governments have for poverty reduction and enabling inclusive economic growth. Please expand on this by adding what national systems you are strengthening, how you aim to do this and through who ? also who will this help and how (numbers if possible) etc","832,639",10/07/15,09/07/19,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003677,Climate Smart Development for Nepal,"This will help Nepal to cope with impacts of climate change (CC) and promote clean development. It will provide strategic support to the Govt of Nepal to design and implement CC policies, to integrate resilience throughout government planning. This will:Improve resilience of 700,000 poor & vulnerable people (especially women) to floods, landslides, droughts in most remote districts;Improve resilience of businesses in 5 growing urban centres & 3 river basins through investments in urban planning, large scale irrigation systems & flood management;Facilitate connection of over 25,000 households to new micro-hydro power installations; connect over 70,000 homes to solar power & install RET in more than 200 schools/health clinics;Develop industry standard for ?clean? brick production and enable over half of the brick kilns (at least 400) to adopt more efficient technologies;Improve design of future CC programming & beyond through generation of world class evidence","7,142,857",30/03/16,29/03/23,7,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003678,"Leaving No One Behind: African Voice, Agency and Action","To support Southern African regional civil society and private sector coalitions to hold national and regional policy makers to account for the reduction of poverty and inequality of African miners, farmers, cross-border traders and migrants.","1,650,000",30/01/16,29/01/18,2,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003680,Connecting Classrooms - supporting the development of sustainable partnerships between schools in the UK and schools overseas,"This programme will build the capability of teachers, school managers and policy makers in the UK and overseas to deliver core, 21st Century skills to pupils giving them enhanced knowledge, skills and understanding for working in a global economy and contributing responsibly to society both locally, nationally and globally. DFID?s investment will result in: ? 26,000 teachers with an improved understanding of how to support the development of a chosen key skills area identified as being of particular need in their school ? 7,000 school leaders with an improved understanding of how to support the development of one of the six key skills across the curriculum ? 2,000 unique schools involved in a partnership, enabling teachers and pupils to benefit from cultural exchange resulting in improved global awareness.","5,666,667",16/06/15,15/06/18,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003683,Public Resource Management in Somalia,"To build the capacity of Somalia?s new federal system of government by establishing and improving systems for tax, spend and civil service management at all levels including Public finance management , Public administration and work on decentralisation / federalism.","9,500,000",30/05/16,29/05/20,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003684,Somalia Monitoring Programme II,"To support the delivery of better social, governance and economic statistics within Somalia to ensure that UK Aid is delivered to appropriate priorities and that wider development planning is increasingly informed by evidence that will allow the Somali authorities to have the evidence to determine the right priorities and level of investments to address the health, education, security and economic needs of the population of Somalia","2,575,000",30/03/16,29/03/20,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003685,Somalia Stability Fund II,The purpose of this project is to promote stability accross Somalia. This is a flexible adaptable instrument that will develop a portfolio of projects aimed at strengthening local governance and reducing conflict in Somalia.,"8,750,000",29/09/16,28/09/20,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003686,Somalia Security and Justice Programme,To strengthen security and justice institutions by providing basic training to police and equipping police and justice agencies with basic infrastructure and skill sets; improving management systems; and developing legal institutions including the district courts in the new federal member states and the ministries of justice at the Federal and member state level.,"7,500,000",29/04/16,28/04/20,4,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003687,Support to conflict prevention initiatives in the Sahel through community level conflict reduction and technical support to multilaterals,"To assist the vulnerable region of West Africa to manage ongoing conflicts through the Conflict Security and Stability Fund. The projects will increase the capacity of local communities in Mali to manage conflicts peacefully; support the EU Delegation in Mali with conflict advice, and strengthen coordination, inclusivity and accountability of security services delivery through improved security forces-communities cooperation.","614,585",30/03/15,29/03/18,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003689,"Conflict Stability and Security Fund - Support to Elections, State Formation and Rule of Law Programmes in Somalia.",To support physical infrastructure critical to the operational effectiveness and human rights compliance of the justice system by building a regional police headquarters in Beledweyne and reducing overcrowding in Mogadishu prison; and support capacity of key actors in the state formation process; incl. support to inclusive and credible federal electoral process in 2016 with focus on women and marginalised groups. This will result in tangible improvements in security provision and access to justice for Somali citizens and strengthen the foundation for stronger state institutions.,"3,450,646",30/03/15,29/03/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003690,Support to emergency in Iraq,"This programme will provide humanitarian aid to vulnerable populations in Iraq by (1) Responding to the needs of extremely vulnerable people including women and girls and (2) Supporting improvements in the UN humanitarian system. The programme will deliver life-saving assistance through: Flexible responses to sudden-onset emergencies through the Humanitarian Pooled Fund; and Assistance to protracted IDP caseloads through cash grants and improved access to public welfare. The programme will also fund research aimed at enabling a shift from humanitarian aid in-kind to cash grants. Support will also strengthen the humanitarian response such as the development of Government contingency coordination centres, improving safety and access reporting for NGOs and strengthening the UN response. The programme will contribute towards DFID Strategic Development Plan objectives 1 (strengthening global peace, security and governance) and 2 (strengthening resilience and response to crisis).","55,000,000",30/03/16,29/03/19,3,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003691,SNaP; Increasing Women?s Participation in Decision-Making and Challenging Harmful Social Norms in Somalia,"Ensure that women have voice, choice and control over decisions that affect them by promoting women's voice in official processes including transitional justice and local decision making, support women civil society, challenge discriminatory social norms and end harmful traditional practices.","2,000,000",31/10/15,30/10/20,5,General Grants - Un-competed,International,1. General public services
Department for International Development,SCH-000003692,Gender Based Violence Response Services,"The purpose of the project is to reduce the prevalence of gender-based violence in six provinces of Afghanistan: Daikundi, Farah, Jawzjan, Laghman, Panjsher and Parwan","1,112,500",31/12/16,30/12/18,2,General Grants - Un-competed,International,1. General public services
